Designator,Mid X,Mid Y,Rotation,Layer
BOOT,120.0,-64.69,0.0,top
BT1,89.27,-86.89,0.0,top
C1,115.955,-113.17,180.0,top
C10,121.085,-53.81,0.0,top
C2,114.98,-115.1,180.0,top
C3,104.52,-121.09,180.0,top
C4,104.52,-123.09,0.0,top
C5,107.22,-62.305,180.0,top
C6,111.95,-60.045,90.0,top
C7,105.93,-69.29,90.0,top
C8,104.86,-69.29,90.0,top
C9,121.065,-52.43,0.0,top
D1,109.64,-64.575,180.0,top
ENBLE,120.0,-58.39,0.0,top
H1,107.44,-129.16,180.0,top
J1,107.49,-43.435,180.0,top
Q1,109.28,-59.53,0.0,top
Q2,104.2425,-59.45,0.0,top
R1,111.96,-120.985,90.0,top
R2,111.98,-122.8,270.0,top
R3,104.775,-54.68,0.0,top
R4,110.4,-54.68,0.0,top
R5,103.175,-63.37,0.0,top
R6,121.08,-51.08,180.0,top
R7,108.06,-49.555,270.0,top
R8,106.71,-49.565,270.0,top
U1,112.46,-82.36,0.0,top
U2,111.74,-104.25,270.0,top
U3,108.87,-122.11,0.0,top
